FIRST,LAST,ATHLETE_ID,ATHLETE_NUM,POSITION,GUARD,DATE,TIMEPOINT,TP1,ACTIVITY_TYPE,PRACTICE_LAG,PLAYERLOAD,PL_MIN,TRIMP,IMA_A,IMA_D,IMA_L,IMA_R,EXP_EFF,IMA_JUMP_HIGH,JUMPS_TOTAL,EXP_RATIO,PERC_EXP_EFF,AVG_MINS,MIN_DEV,MINUTE,FG_PERC,FG_MADE,FG_TOTAL,FG_MISSED,X3PT_PERC,X3PT_MADE,X3PT_TOT,FT_PERC,FT_MADE,FT_TOTAL,FT_MISSED,ORB,DRB,REBOUND,FOULS,ASSIST,TURNOVER,BLOCKS,STEALS,POINTS,EFFICIENCY
Jazym,Doster,JD1,1,3,0,11/4/23,1,0,0,2,487.56659,4.58465,99.71467,16,4,6,11,38,1,57,0.77938,21.96532,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/5/23,2,1,0,1,240.99235,2.54026,95.48017,15,4,4,6,29,0,66,1.20336,29.29293,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/6/23,3,2,1,0,373.57854,3.89922,95.825,16.5,0.5,7,4.5,33.5,10,129,0.89673,28.27004,17.33,-4.33,13,66.67,2,3,1,0,0,0,80,4,5,1,5,3,8,1,0,1,1,0,8,14
Jazym,Doster,JD1,1,3,0,11/8/23,4,3,0,1,347.87632,3.7633,91.895,10,9,5,4,30,2,35,0.86238,27.02703,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/9/23,5,4,1,0,257.68231,3.30569,126.7435,6.66667,1,2.66667,3.66667,15.66667,5,101,0.60798,20.08547,17.33,-5.33,12,50,2,4,2,0,0,0,0,0,0,0,1,5,6,5,0,1,1,1,4,9
Jazym,Doster,JD1,1,3,0,11/10/23,6,5,0,2,186.9611,1.9929,104.57217,6,0,0,2,8,0,7,0.4279,29.62963,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/11/23,7,6,0,1,396.77267,2.94382,159.2595,15,7,8,11,44,3,61,1.10895,23.28042,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/14/23,9,8,0,1,321.01315,3.22697,147.17383,15,1,5,2,24,1,50,0.74763,19.2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jazym,Doster,JD1,1,3,0,11/15/23,10,9,1,0,272.80453,2.88856,127.91583,6.5,2.5,2,3,15.5,3,115,0.56817,17.41573,17.33,-7.33,10,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2
Jazym,Doster,JD1,1,3,0,11/17/23,11,10,0,1,420.27984,3.15136,197.56583,15,5,13,7,41,1,67,0.97554,23.16384,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
